ID	"node.degree"	"node.betw"	"node.stress"	"node.evcent"	"Clustering.Coefficient"	No. module	Zi	Pi	Role	Flag	Taxonomy	Abundance	Top?
OTU_18671	5	871.997077634642	2114	0.00155021729741703	0.1	1	-0.0988533609478406	0.56	0	-1	Verrucomicrobia	795	0
OTU_18685	1	0	0	0.00627388635308757	0	0	-0.72732515647348	0	0	0	Proteobacteria	803	0
OTU_18800	1	0	0	6.002350794342e-05	0	1	-0.691973526634884	0	0	-1	Acidobacteria	865	0
OTU_18890	1	0	0	7.94158771865634e-07	0	6	-1.49120227015865	0	0	-1	Actinobacteria	2955	0
OTU_19287	6	205.695177023325	886	0.111973724589041	0.466666666666667	2	0.0978126721513271	0	0	-1	Proteobacteria	968	0
OTU_19459	2	194	359	0.00170716343835099	0	1	-0.395413443791362	0	0	-1	Acidobacteria	1552	0
OTU_19652	1	0	0	2.52208165467899e-97	0	19	0	0	0	-1	Acidobacteria	210	0
OTU_19766	1	0	0	0.000368915073758331	0	1	-0.691973526634884	0	0	-1	Proteobacteria	499	0
OTU_20178	1	0	0	1.06014501244826e-11	0	4	-1.19139522081402	0	0	0	Firmicutes	247	0
OTU_20668	1	0	0	0.00180703292808271	0	0	-0.72732515647348	0	0	0	Proteobacteria	690	0
OTU_20797	5	831.517540926506	5669	0.00103120556321472	0.3	1	0.197706721895681	0.32	0	-1	Actinobacteria	3713	0
OTU_20810	6	352.705194805194	2427	0.000904750099127664	0.533333333333333	0	0.850833201912372	0	0	0	Actinobacteria	2375	0
OTU_21239	1	0	0	4.98008445228853e-06	0	6	-1.49120227015865	0	0	-1	Actinobacteria	2220	0
OTU_21262	5	957	2412	0.000104169322161398	0.1	9	1.73205080756888	0.32	0	-1	Verrucomicrobia	1725	1
OTU_21434	5	244.655845216875	739	0.00333630535386497	0.5	1	0.494266804739203	0	0	-1	Verrucomicrobia	1913	1
OTU_21522	2	0	0	0.0015845174758633	1	0	-0.411693484796309	0	0	0	Actinobacteria	3493	0
OTU_21739	1	0	0	3.5495143750657e-83	0	17	0	0	0	-1	Verrucomicrobia	1246	0
OTU_21867	1	0	0	2.52208165467899e-97	0	32	0	0	0	0	Actinobacteria	2019	0
OTU_21915	4	194	840	7.59727959258961e-07	0.5	7	1.0690449676497	0	0	-1	Acidobacteria	6333	0
OTU_21929	2	0	0	0.00187456232558584	1	1	-0.395413443791362	0	0	-1	Verrucomicrobia	12920	1
OTU_22049	1	0	0	6.7059160914392e-75	0	12	-0.577350269189626	0	0	-1	Acidobacteria	1561	0
OTU_22242	3	194	485	1.14360231227714e-05	0.333333333333333	9	0.866025403784439	0	0	-1	Proteobacteria	967	0
OTU_22338	11	157.984569109418	776	0.17319292285253	0.436363636363636	2	1.01840252769323	0	0	0	Actinobacteria	725	0
OTU_22489	1	0	0	2.52208165467899e-97	0	31	0	0	0	-1	Proteobacteria	1702	0
OTU_22506	1	0	0	2.52208165467899e-97	0	30	0	0	0	-1	Actinobacteria	1614	0
OTU_22802	1	0	0	3.5495143750657e-83	0	17	0	0	0	-1	Verrucomicrobia	1249	0
OTU_22899	1	0	0	0.000403765533878716	0	0	-0.72732515647348	0	0	-1	Acidobacteria	2120	0
OTU_22981	3	0	0	0.0019947470346621	1	0	-0.0960618131191388	0	0	0	Actinobacteria	2798	0
OTU_23325	1	0	0	2.52208165467899e-97	0	28	0	0	0	0	Proteobacteria	1350	0
OTU_23377	1	0	0	0.0323145472791465	0	2	-0.822777183390575	0	0	0	Proteobacteria	471	0
OTU_24085	1	0	0	2.52208165467899e-97	0	27	0	0	0	-1	Crenarchaeota	2889	1
OTU_24090	12	41.8428571428571	113	1.1730445786041e-10	0.363636363636364	4	1.58088981223398	0	0	-1	Firmicutes	14091	1
OTU_24435	1	0	0	0.000403765533878716	0	0	-0.72732515647348	0	0	-1	Acidobacteria	1854	0
OTU_24474	6	6.04435125828988	40	0.107526977629839	0.733333333333333	2	0.0978126721513271	0	0	0	Proteobacteria	489	0
OTU_24581	2	3	3	4.99668463217534e-72	0	5	0.5	0	0	0	Bacteroidetes	618	0
OTU_24660	3	387	717	0.00172389987392158	0	1	-0.0988533609478406	0	0	1	Crenarchaeota	1198	1
OTU_24748	5	194	539	0.054138952535941	0.6	2	-0.0863052989570533	0	0	0	Proteobacteria	3391	0
OTU_25114	2	0	0	0.00203152339682194	1	0	-0.411693484796309	0	0	0	Actinobacteria	1304	0
OTU_25249	3	0	0	0.0652493174534795	1	2	-0.454541241173814	0	0	0	Proteobacteria	499	0
OTU_25345	2	0	0	0.043860221038713	1	2	-0.638659212282194	0	0	0	Proteobacteria	610	0
OTU_25392	4	764	3348	6.16719273926158e-06	0.5	7	1.0690449676497	0	0	-1	Acidobacteria	16978	1
OTU_25972	6	3.54166666666667	14	0.100507600371891	0.666666666666667	2	0.0978126721513271	0	0	0	Proteobacteria	952	0
