Node	Degree	Clustering coefficient	Eccentricity	Average neighbor degree	Degree centrality	Closeness centrality	Betweenness centrality	Harmonic centrality	Load centrality	Subgraph centrality	Mean centrality rank	Module number (greedy modularity)	Z-score (greedy modularity)	P-score (greedy modularity)	Module number (label propagation)	Z-score (label propagation)	P-score (label propagation)
OTU_11423	2	0	1	1	0.00706714	0.00706714	2.50608e-05	2	2.50608e-05	2.17818	135	14	1.41421	0	21	1.41421	0
OTU_115	5	0.1	8	3.2	0.0176678	0.139093	0.0423652	46.5405	0.0423496	6.39495	231	4	1.61245	0.32	13	1.73205	0.56
OTU_117	22	0.151515	10	5.95455	0.0777385	0.146366	0.0248193	61.7766	0.0249163	1453.25	270	0	3.0437	0	0	3.61585	0
OTU_11791	8	0.678571	2	9.25	0.0282686	0.0458325	0.000217193	14.5	0.00021608	263.819	192	3	0.572786	0	2	0.572786	0
OTU_1195	3	0	10	2.66667	0.0106007	0.100647	0.0144851	33.3683	0.0144851	3.23198	176	4	0.806226	0	10	0.5	0.444444
OTU_12	2	0	1	1	0.00706714	0.00706714	2.50608e-05	2	2.50608e-05	2.17818	137	16	1.41421	0	26	1.41421	0
OTU_120	3	0.333333	8	7.66667	0.0106007	0.163858	0.00486179	53.3238	0.00486179	8.3686	226	2	-0.136631	0	5	0.262	0
OTU_12094	2	0	8	5.5	0.00706714	0.158261	0.00136248	50.2012	0.00142429	3.8206	197	1	-0.409154	0	47	0	0.5
OTU_121	17	0.382353	9	10.1176	0.0600707	0.193887	0.0912323	71.5052	0.0910968	2515.14	283	0	1.93899	0.110727	3	1.25568	0.491349
OTU_123	1	0	10	3	0.00353357	0.114547	0	35.0313	0	1.66835	59	8	-0.866025	0	7	-0.866025	0
OTU_12417	1	0	1	1	0.00353357	0.00353357	0	1	0	1.54308	29	20	0	0	31	0	0
OTU_1249	1	0	11	11	0.00353357	0.118801	0	40.3207	0	4.28958	88	0	-0.822777	0	0	-0.717274	0
OTU_1251	1	0	4	9	0.00353357	0.0283328	0	8.83333	0	4.41632	54	3	-1.1914	0	2	-1.1914	0
OTU_12580	1	0	2	2	0.00353357	0.00471143	0	1.5	0	1.58909	36	17	-0.707107	0	19	-0.707107	0
OTU_126	7	0.047619	8	2.71429	0.024735	0.149128	0.0346706	50.2655	0.0347734	13.5649	247	1	0.783237	0.244898	14	1.73205	0.612245
OTU_12734	3	0.666667	1	2.33333	0.0106007	0.0106007	1.25304e-05	3	1.25304e-05	4.24822	148	13	1	0	18	1	0
OTU_128	13	0.141026	8	8.07692	0.0459364	0.221723	0.1479	76.4369	0.145728	206.539	281	2	1.98873	0.378698	11	1.73205	0.828402
OTU_13	8	0.321429	8	8.75	0.0282686	0.186358	0.0325366	63.4905	0.0314114	64.0762	269	2	1.38149	0	4	0	0.65625
OTU_131	11	0.272727	8	4.72727	0.0388693	0.156967	0.0192965	54.8869	0.0198708	70.7528	263	2	2.29236	0	4	2.56174	0
OTU_13168	1	0	10	2	0.00353357	0.119223	0	37.2385	0	1.62437	68	1	-0.707252	0	41	0	0
OTU_1325	1	0	3	3	0.00353357	0.00706714	0	2.33333	0	1.63976	46	9	-0.75	0	24	-0.707107	0
OTU_1326	4	0.333333	9	8	0.0141343	0.16208	0.0117718	55.002	0.0118375	32.2645	244	0	-0.270423	0	20	0	0.625
OTU_1338	1	0	3	3	0.00353357	0.00706714	0	2.33333	0	1.63976	45	9	-0.75	0	24	-0.707107	0
OTU_135	6	0.733333	3	9.5	0.0212014	0.0399565	0.000140102	13	0.000144517	154.468	180	3	0.0687343	0	2	0.0687343	0
OTU_136	10	0.688889	9	11	0.0353357	0.163858	0.000774856	58.6687	0.000776362	1196.94	253	0	0.834285	0	3	1.01469	0
OTU_1360	3	1	11	3.66667	0.0106007	0.0919042	0	29.9838	0	5.55471	112	7	0.267261	0	8	0.267261	0
OTU_137	1	0	2	2	0.00353357	0.00471143	0	1.5	0	1.58909	35	17	-0.707107	0	19	-0.707107	0
OTU_1370	5	0.9	8	7.6	0.0176678	0.142486	1.12773e-05	47.7893	1.09641e-05	33.7093	206	2	0.470616	0	4	0.365963	0
OTU_13791	3	0.666667	10	22	0.0106007	0.142486	0.000108609	51.7766	0.000117602	210.979	218	0	-0.454541	0	0	-0.510935	0.444444
OTU_138	2	1	10	3.5	0.00706714	0.131472	0	42.2599	0	3.9568	117	0	-0.638659	0	20	0	0
OTU_139	2	1	8	12	0.00706714	0.169651	0	54.7631	0	10.0903	158	1	-0.409154	0	1	-0.522035	0
OTU_14	11	0.2	8	6.90909	0.0388693	0.181328	0.0602849	64.4298	0.0600684	92.4718	275	1	1.97563	0.165289	1	1.55711	0.31405
OTU_140	5	0.1	7	5.2	0.0176678	0.168799	0.0698556	55.9881	0.0698188	8.85341	255	1	-0.111056	0.56	1	-0.225015	0.56
OTU_141	25	0.206667	10	8.16	0.0883392	0.167536	0.0515378	69.475	0.0508325	3235.25	279	0	3.59605	0	0	3.40951	0.2688
OTU_14293	1	0	1	1	0.00353357	0.00353357	0	1	0	1.54308	22	27	0	0	44	0	0
OTU_143	9	0.305556	11	8.66667	0.0318021	0.138092	0.00996491	53.1028	0.0100013	372.405	248	0	0.650167	0	0	0.933438	0
OTU_14351	7	0.619048	10	15.5714	0.024735	0.160915	0.00344249	58.475	0.00287188	760.53	251	0	0.281931	0	0	-0.0982567	0.489796
OTU_144	1	0	10	3	0.00353357	0.119435	0	37.4885	0	1.70763	71	1	-0.707252	0	1	-0.819056	0
OTU_14565	3	1	10	15.3333	0.0106007	0.142034	0	50.8599	0	95.6858	160	0	-0.454541	0	0	-0.304596	0
OTU_14601	3	1	3	8.33333	0.0106007	0.0324647	0	10.5	0	35.3039	116	3	-0.687343	0	2	-0.687343	0
OTU_14617	2	1	2	3	0.00706714	0.00795053	0	2.5	0	3.01859	76	13	-1	0	18	-1	0
OTU_1469	1	0	9	13	0.00353357	0.143245	0	46.1052	0	4.05894	106	1	-0.707252	0	1	-0.819056	0
OTU_147	1	0	9	11	0.00353357	0.127966	0	40.85	0	3.3022	94	2	-0.743877	0	4	-1.09789	0
OTU_14733	2	1	9	4	0.00706714	0.137106	0	42.9377	0	3.07786	120	8	0	0	7	0	0
OTU_14736	12	0.515152	2	8	0.0424028	0.0519435	0.000643346	16.5	0.000637866	466.95	204	3	1.58089	0	2	1.58089	0
OTU_148	1	0	10	5	0.00353357	0.100197	0	31.7849	0	1.78225	58	4	-0.806226	0	10	-0.75	0
OTU_1488	1	0	1	1	0.00353357	0.00353357	0	1	0	1.54308	5	25	0	0	40	0	0
OTU_15	2	1	2	3	0.00706714	0.00795053	0	2.5	0	3.01859	77	11	-1	0	15	-1	0
OTU_150	1	0	2	2	0.00353357	0.00471143	0	1.5	0	1.58909	37	16	-0.707107	0	26	-0.707107	0
OTU_151	1	0	1	1	0.00353357	0.00353357	0	1	0	1.54308	29	30	0	0	51	0	0
OTU_1535	1	0	1	1	0.00353357	0.00353357	0	1	0	1.54308	27	33	0	0	32	0	0
OTU_1580	1	0	2	2	0.00353357	0.00471143	0	1.5	0	1.58909	33	18	-0.707107	0	22	-0.707107	0
OTU_15934	1	0	1	1	0.00353357	0.00353357	0	1	0	1.54308	16	29	0	0	48	0	0
OTU_161	1	0	10	2	0.00353357	0.11807	0	36.6147	0	1.61213	62	1	-0.707252	0	35	0	0
OTU_1610	1	0	8	22	0.00353357	0.169438	0	54.2631	0	7.22651	140	1	-0.707252	0	1	-0.819056	0
OTU_16162	2	1	1	2	0.00706714	0.00706714	0	2	0	2.70827	65	15	0	0	23	0	0
OTU_1646	1	0	11	22	0.00353357	0.120831	0	42.8207	0	17.27	108	0	-0.822777	0	0	-0.717274	0
OTU_16473	2	1	2	3	0.00706714	0.00795053	0	2.5	0	3.01859	79	11	-1	0	15	-1	0
OTU_16676	1	0	11	13	0.00353357	0.120398	0	41.704	0	9.84801	100	0	-0.822777	0	0	-0.717274	0
OTU_167	11	0.236364	7	9.18182	0.0388693	0.222457	0.111273	75.1357	0.112826	140.77	277	2	0.77424	0.628099	17	1.73205	0.826446
OTU_16896	2	0	9	10	0.00706714	0.146207	0.00110853	48.0123	0.00109161	6.32133	194	1	-0.409154	0	14	-0.57735	0.5
OTU_170	3	0	7	3	0.0106007	0.147653	0.0056405	47.2476	0.00587249	3.58677	210	4	0	0.444444	49	0	0.666667
OTU_17207	3	0.333333	10	7.66667	0.0106007	0.139817	0.00486179	48.5266	0.00486179	23.8398	219	0	-0.454541	0	0	-0.304596	0
OTU_175	1	0	11	3	0.00353357	0.103916	0	32.8008	0	1.65738	53	1	-0.707252	0	27	-0.707107	0
OTU_17530	1	0	8	18	0.00353357	0.162865	0	51.9071	0	4.69009	122	2	-0.743877	0	5	-0.494889	0
OTU_1759	1	0	1	1	0.00353357	0.00353357	0	1	0	1.54308	8	33	0	0	32	0	0
OTU_176	5	0.1	9	2.4	0.0176678	0.117144	0.0286445	39.6016	0.0286445	5.84503	216	4	2.41868	0	10	1.75	0.48
OTU_180	9	0.166667	7	7.88889	0.0318021	0.202051	0.0800488	68.3095	0.0798767	58.1412	273	1	1.08134	0.345679	1	0.666045	0.518519
OTU_1802	1	0	1	1	0.00353357	0.00353357	0	1	0	1.54308	13	28	0	0	45	0	0
