Filename	Method	Submission	GS	AUPR, #1	AUPR, #3	AUPR, #4	AUROC, #1	AUROC, #3	AUROC, #4	PR score, #1	PR score, #3	PR score, #4	ROC score, #1	ROC score, #3	ROC score, #4	Score, #1	Score, #3	Score, #4	Final score
DREAM5_Bayesian1_net1_MI2_#63.txt	idirect	Bayesian1	old_gs	0.22408221	0.04318897	0.01963919	0.64157797	0.56682165	0.51236959	34.10084201	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	17.05055030	0.07481626	0.19315612	5.77284089	
DREAM5_Bayesian1_net1_MI2_#64.txt	idirect	Bayesian1	old_gs	0.22343247	0.04318897	0.01963919	0.64156640	0.56682165	0.51236959	33.60675313	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.80350586	0.07481626	0.19315612	5.69049275	
DREAM5_Bayesian1_net1_MI2_#65.txt	idirect	Bayesian1	old_gs	0.22426467	0.04318897	0.01963919	0.64157607	0.56682165	0.51236959	34.23829736	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	17.11927797	0.07481626	0.19315612	5.79575012	
DREAM5_Bayesian1_net1_MI2_#66.txt	idirect	Bayesian1	old_gs	0.22285324	0.04318897	0.01963919	0.64156728	0.56682165	0.51236959	33.16888651	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.58457255	0.07481626	0.19315612	5.61751498	
DREAM5_Bayesian1_net1_MI2_#67.txt	idirect	Bayesian1	old_gs	0.22366149	0.04318897	0.01963919	0.64157123	0.56682165	0.51236959	33.78117670	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.89071764	0.07481626	0.19315612	5.71956334	
DREAM5_Bayesian1_net1_MI2_#68.txt	idirect	Bayesian1	old_gs	0.22398488	0.04318897	0.01963919	0.64157309	0.56682165	0.51236959	34.02459613	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	17.01242736	0.07481626	0.19315612	5.76013325	
DREAM5_Bayesian1_net1_MI2_#69.txt	idirect	Bayesian1	old_gs	0.22346911	0.04318897	0.01963919	0.64157545	0.56682165	0.51236959	33.62947869	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.81486864	0.07481626	0.19315612	5.69428034	
DREAM5_Bayesian1_net1_MI2_#7.txt	idirect	Bayesian1	old_gs	0.22235634	0.04318897	0.01963919	0.64155760	0.56682165	0.51236959	32.79369655	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.39697757	0.07481626	0.19315612	5.55498332	
DREAM5_Bayesian1_net1_MI2_#70.txt	idirect	Bayesian1	old_gs	0.22242232	0.04318897	0.01963919	0.64155520	0.56682165	0.51236959	32.84609595	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.42317727	0.07481626	0.19315612	5.56371655	
DREAM5_Bayesian1_net1_MI2_#71.txt	idirect	Bayesian1	old_gs	0.22356258	0.04318897	0.01963919	0.64157690	0.56682165	0.51236959	33.70528547	0.14810381	0.11006072	0.00025859	0.00152871	0.27625153	16.85277203	0.07481626	0.19315612	5.70691480	
