,Proportion.removed,remain.mean,remain.sd,remain.se,weighted,consider_cascade,network
276,0.8,0.084887526,0.013055538,0.001305554,unweighted,Yes,warming_spearman
277,0.85,0.054294479,0.010162271,0.001016227,unweighted,Yes,warming_spearman
278,0.9,0.029509202,0.008831803,0.00088318,unweighted,Yes,warming_spearman
279,0.95,0.008997955,0.006096982,0.000609698,unweighted,Yes,warming_spearman
280,1,0,0,0,unweighted,Yes,warming_spearman
281,0.05,0.733067485,0.007877187,0.000787719,weighted,No,warming_spearman
282,0.1,0.682576687,0.009837874,0.000983787,weighted,No,warming_spearman
283,0.15,0.63603272,0.012582618,0.001258262,weighted,No,warming_spearman
284,0.2,0.586134969,0.013801956,0.001380196,weighted,No,warming_spearman
285,0.25,0.539693252,0.0161392,0.00161392,weighted,No,warming_spearman
286,0.3,0.490388548,0.0147036,0.00147036,weighted,No,warming_spearman
287,0.35,0.446687117,0.019234844,0.001923484,weighted,No,warming_spearman
288,0.4,0.400327198,0.016365391,0.001636539,weighted,No,warming_spearman
289,0.45,0.356482618,0.015573853,0.001557385,weighted,No,warming_spearman
290,0.5,0.315214724,0.015695812,0.001569581,weighted,No,warming_spearman
291,0.55,0.271697342,0.018011724,0.001801172,weighted,No,warming_spearman
292,0.6,0.230961145,0.016266231,0.001626623,weighted,No,warming_spearman
293,0.65,0.193456033,0.015754856,0.001575486,weighted,No,warming_spearman
294,0.7,0.153026585,0.01605512,0.001605512,weighted,No,warming_spearman
295,0.75,0.117300613,0.013675092,0.001367509,weighted,No,warming_spearman
296,0.8,0.085194274,0.013067585,0.001306759,weighted,No,warming_spearman
297,0.85,0.054478528,0.011371246,0.001137125,weighted,No,warming_spearman
298,0.9,0.030531697,0.008375183,0.000837518,weighted,No,warming_spearman
299,0.95,0.009202454,0.005824133,0.000582413,weighted,No,warming_spearman
300,1,0,0,0,weighted,No,warming_spearman
301,0.05,0.729243354,0.008231438,0.000823144,unweighted,No,warming_spearman
302,0.1,0.678588957,0.012858493,0.001285849,unweighted,No,warming_spearman
303,0.15,0.631717791,0.014201146,0.001420115,unweighted,No,warming_spearman
304,0.2,0.582985685,0.01372492,0.001372492,unweighted,No,warming_spearman
305,0.25,0.535439673,0.016357478,0.001635748,unweighted,No,warming_spearman
306,0.3,0.491799591,0.016142864,0.001614286,unweighted,No,warming_spearman
307,0.35,0.443333333,0.018280075,0.001828008,unweighted,No,warming_spearman
308,0.4,0.401492843,0.018376322,0.001837632,unweighted,No,warming_spearman
309,0.45,0.358200409,0.015567993,0.001556799,unweighted,No,warming_spearman
310,0.5,0.318732106,0.017158969,0.001715897,unweighted,No,warming_spearman
311,0.55,0.271083845,0.017721624,0.001772162,unweighted,No,warming_spearman
312,0.6,0.232249489,0.016718143,0.001671814,unweighted,No,warming_spearman
313,0.65,0.191574642,0.015142022,0.001514202,unweighted,No,warming_spearman
314,0.7,0.155276074,0.016667532,0.001666753,unweighted,No,warming_spearman
315,0.75,0.117893661,0.013671555,0.001367155,unweighted,No,warming_spearman
316,0.8,0.085685072,0.013447643,0.001344764,unweighted,No,warming_spearman
317,0.85,0.055889571,0.010616354,0.001061635,unweighted,No,warming_spearman
318,0.9,0.030184049,0.009701849,0.000970185,unweighted,No,warming_spearman
319,0.95,0.01,0.005841478,0.000584148,unweighted,No,warming_spearman
320,1,0,0,0,unweighted,No,warming_spearman
321,0.05,0.876443662,0.011169536,0.001116954,weighted,Yes,control_spearman
322,0.1,0.814049296,0.013857675,0.001385768,weighted,Yes,control_spearman
323,0.15,0.745704225,0.018104194,0.001810419,weighted,Yes,control_spearman
324,0.2,0.684049296,0.020155105,0.002015511,weighted,Yes,control_spearman
325,0.25,0.628556338,0.020662217,0.002066222,weighted,Yes,control_spearman
326,0.3,0.566021127,0.021580552,0.002158055,weighted,Yes,control_spearman
327,0.35,0.506443662,0.022326035,0.002232603,weighted,Yes,control_spearman
328,0.4,0.451197183,0.026139835,0.002613983,weighted,Yes,control_spearman
