,Number.hub.removed,remain.mean,remain.sd,remain.se,weighted,consider_cascade,network
211,11,0.713762781,0.006264124,0.000626412,weighted,Yes,warming_spearman
212,12,0.710327198,0.007332382,0.000733238,weighted,Yes,warming_spearman
213,13,0.705112474,0.006006237,0.000600624,weighted,Yes,warming_spearman
214,14,0.700511247,0.005003908,0.000500391,weighted,Yes,warming_spearman
215,15,0.695296524,0,0,weighted,Yes,warming_spearman
216,1,0.770368098,0.005095259,0.000509526,unweighted,Yes,warming_spearman
217,2,0.765337423,0.006617753,0.000661775,unweighted,Yes,warming_spearman
218,3,0.764335378,0.008144352,0.000814435,unweighted,Yes,warming_spearman
219,4,0.759018405,0.00841275,0.000841275,unweighted,Yes,warming_spearman
220,5,0.757770961,0.009229955,0.000922995,unweighted,Yes,warming_spearman
221,6,0.750756646,0.010277611,0.001027761,unweighted,Yes,warming_spearman
222,7,0.749182004,0.009456019,0.000945602,unweighted,Yes,warming_spearman
223,8,0.745685072,0.009110857,0.000911086,unweighted,Yes,warming_spearman
224,9,0.740777096,0.010379205,0.00103792,unweighted,Yes,warming_spearman
225,10,0.738343558,0.008993517,0.000899352,unweighted,Yes,warming_spearman
226,11,0.734314928,0.007942474,0.000794247,unweighted,Yes,warming_spearman
227,12,0.731554192,0.007242419,0.000724242,unweighted,Yes,warming_spearman
228,13,0.72799591,0.006650355,0.000665035,unweighted,Yes,warming_spearman
229,14,0.724274029,0.004465758,0.000446576,unweighted,Yes,warming_spearman
230,15,0.719836401,0,0,unweighted,Yes,warming_spearman
231,1,0.778691207,0.003507029,0.000350703,weighted,No,warming_spearman
232,2,0.773558282,0.004649278,0.000464928,weighted,No,warming_spearman
233,3,0.769877301,0.005713971,0.000571397,weighted,No,warming_spearman
234,4,0.764539877,0.00510954,0.000510954,weighted,No,warming_spearman
235,5,0.760306748,0.006655434,0.000665543,weighted,No,warming_spearman
236,6,0.755889571,0.006352515,0.000635252,weighted,No,warming_spearman
237,7,0.750552147,0.007755726,0.000775573,weighted,No,warming_spearman
238,8,0.746932515,0.007446712,0.000744671,weighted,No,warming_spearman
239,9,0.742433538,0.007198659,0.000719866,weighted,No,warming_spearman
240,10,0.737607362,0.007605664,0.000760566,weighted,No,warming_spearman
241,11,0.733087935,0.006905781,0.000690578,weighted,No,warming_spearman
242,12,0.728241309,0.006219729,0.000621973,weighted,No,warming_spearman
243,13,0.724621677,0.005493592,0.000549359,weighted,No,warming_spearman
244,14,0.719427403,0.004872386,0.000487239,weighted,No,warming_spearman
245,15,0.715746421,0,0,weighted,No,warming_spearman
246,1,0.774683027,0.006085747,0.000608575,unweighted,No,warming_spearman
247,2,0.769611452,0.007496718,0.000749672,unweighted,No,warming_spearman
248,3,0.764539877,0.007821028,0.000782103,unweighted,No,warming_spearman
249,4,0.762638037,0.009388231,0.000938823,unweighted,No,warming_spearman
250,5,0.760347648,0.009134819,0.000913482,unweighted,No,warming_spearman
251,6,0.754233129,0.009464971,0.000946497,unweighted,No,warming_spearman
252,7,0.750940695,0.009819458,0.000981946,unweighted,No,warming_spearman
253,8,0.747198364,0.009970942,0.000997094,unweighted,No,warming_spearman
254,9,0.742719836,0.009885485,0.000988548,unweighted,No,warming_spearman
255,10,0.738466258,0.0084487,0.00084487,unweighted,No,warming_spearman
256,11,0.735132924,0.008580592,0.000858059,unweighted,No,warming_spearman
257,12,0.732453988,0.006493259,0.000649326,unweighted,No,warming_spearman
258,13,0.728773006,0.005989722,0.000598972,unweighted,No,warming_spearman
259,14,0.72396728,0.004311021,0.000431102,unweighted,No,warming_spearman
260,15,0.719836401,0,0,unweighted,No,warming_spearman
261,1,0.928204225,0.007181282,0.000718128,weighted,Yes,control_spearman
262,2,0.918309859,0.007507067,0.000750707,weighted,Yes,control_spearman
263,3,0.904330986,0.008698054,0.000869805,weighted,Yes,control_spearman
264,4,0.892605634,0.006457824,0.000645782,weighted,Yes,control_spearman
265,5,0.88028169,0,0,weighted,Yes,control_spearman
266,1,0.928450704,0.005637358,0.000563736,unweighted,Yes,control_spearman
267,2,0.915633803,0.007505733,0.000750573,unweighted,Yes,control_spearman
268,3,0.905739437,0.007403845,0.000740384,unweighted,Yes,control_spearman
269,4,0.892711268,0.005973349,0.000597335,unweighted,Yes,control_spearman
270,5,0.88028169,0,0,unweighted,Yes,control_spearman
271,1,0.927394366,0.007020524,0.000702052,weighted,No,control_spearman
272,2,0.918098592,0.007263214,0.000726321,weighted,No,control_spearman
273,3,0.904295775,0.00857224,0.000857224,weighted,No,control_spearman
274,4,0.892429577,0.005971672,0.000597167,weighted,No,control_spearman
275,5,0.88028169,0,0,weighted,No,control_spearman
276,1,0.929401408,0.005692516,0.000569252,unweighted,No,control_spearman
277,2,0.917323944,0.006979375,0.000697937,unweighted,No,control_spearman
278,3,0.905352113,0.006775426,0.000677543,unweighted,No,control_spearman
279,4,0.893556338,0.006023457,0.000602346,unweighted,No,control_spearman
280,5,0.88028169,0,0,unweighted,No,control_spearman
281,1,0.98972,0.005341055,0.000534106,weighted,Yes,control_spearman_idirect
282,2,0.98056,0.006916997,0.0006917,weighted,Yes,control_spearman_idirect
283,3,0.97132,0.008121402,0.00081214,weighted,Yes,control_spearman_idirect
284,4,0.9598,0.008187204,0.00081872,weighted,Yes,control_spearman_idirect
285,5,0.94928,0.008117919,0.000811792,weighted,Yes,control_spearman_idirect
286,6,0.9382,0.007614447,0.000761445,weighted,Yes,control_spearman_idirect
287,7,0.92704,0.005544895,0.000554489,weighted,Yes,control_spearman_idirect
288,8,0.916,0,0,weighted,Yes,control_spearman_idirect
289,1,0.99076,0.005414384,0.000541438,unweighted,Yes,control_spearman_idirect
290,2,0.98012,0.006713893,0.000671389,unweighted,Yes,control_spearman_idirect
291,3,0.97016,0.008227473,0.000822747,unweighted,Yes,control_spearman_idirect
292,4,0.95764,0.008338205,0.00083382,unweighted,Yes,control_spearman_idirect
293,5,0.9492,0.007722458,0.000772246,unweighted,Yes,control_spearman_idirect
294,6,0.93724,0.007340382,0.000734038,unweighted,Yes,control_spearman_idirect
295,7,0.92688,0.005744176,0.000574418,unweighted,Yes,control_spearman_idirect
296,8,0.916,0,0,unweighted,Yes,control_spearman_idirect
297,1,0.99048,0.005141395,0.000514139,weighted,No,control_spearman_idirect
298,2,0.97948,0.006694608,0.000669461,weighted,No,control_spearman_idirect
299,3,0.96756,0.008058273,0.000805827,weighted,No,control_spearman_idirect
300,4,0.95852,0.007870774,0.000787077,weighted,No,control_spearman_idirect
301,5,0.94872,0.008516271,0.000851627,weighted,No,control_spearman_idirect
302,6,0.93784,0.007133248,0.000713325,weighted,No,control_spearman_idirect
303,7,0.92732,0.005365208,0.000536521,weighted,No,control_spearman_idirect
304,8,0.916,0,0,weighted,No,control_spearman_idirect
305,1,0.99004,0.005438211,0.000543821,unweighted,No,control_spearman_idirect
306,2,0.98052,0.006837922,0.000683792,unweighted,No,control_spearman_idirect
307,3,0.97016,0.007312256,0.000731226,unweighted,No,control_spearman_idirect
308,4,0.96036,0.007371142,0.000737114,unweighted,No,control_spearman_idirect
309,5,0.94832,0.007726225,0.000772622,unweighted,No,control_spearman_idirect
310,6,0.93756,0.007604252,0.000760425,unweighted,No,control_spearman_idirect
311,7,0.9264,0.005148306,0.000514831,unweighted,No,control_spearman_idirect
312,8,0.916,0,0,unweighted,No,control_spearman_idirect
313,1,0.986802326,0.011097702,0.00110977,weighted,Yes,control_pearson_idirect
314,2,0.973924419,0.014416685,0.001441669,weighted,Yes,control_pearson_idirect
315,3,0.96252907,0.016670635,0.001667064,weighted,Yes,control_pearson_idirect
316,4,0.948081395,0.017075972,0.001707597,weighted,Yes,control_pearson_idirect
317,5,0.931540698,0.017463258,0.001746326,weighted,Yes,control_pearson_idirect
318,6,0.917093023,0.019518006,0.001951801,weighted,Yes,control_pearson_idirect
319,7,0.90380814,0.018459909,0.001845991,weighted,Yes,control_pearson_idirect
320,8,0.885494186,0.014948285,0.001494828,weighted,Yes,control_pearson_idirect
321,9,0.873517442,0.011334197,0.00113342,weighted,Yes,control_pearson_idirect
322,10,0.854651163,0,0,weighted,Yes,control_pearson_idirect
323,1,0.989215116,0.010240648,0.001024065,unweighted,Yes,control_pearson_idirect
324,2,0.970872093,0.017539368,0.001753937,unweighted,Yes,control_pearson_idirect
325,3,0.962034884,0.01622392,0.001622392,unweighted,Yes,control_pearson_idirect
326,4,0.94869186,0.0179073,0.00179073,unweighted,Yes,control_pearson_idirect
327,5,0.934302326,0.018487194,0.001848719,unweighted,Yes,control_pearson_idirect
328,6,0.917674419,0.017572916,0.001757292,unweighted,Yes,control_pearson_idirect
329,7,0.90369186,0.017337085,0.001733709,unweighted,Yes,control_pearson_idirect
330,8,0.883168605,0.015077917,0.001507792,unweighted,Yes,control_pearson_idirect
331,9,0.873226744,0.012235247,0.001223525,unweighted,Yes,control_pearson_idirect
332,10,0.854651163,0,0,unweighted,Yes,control_pearson_idirect
333,1,0.990232558,0.008533136,0.000853314,weighted,No,control_pearson_idirect
334,2,0.976395349,0.013897095,0.001389709,weighted,No,control_pearson_idirect
335,3,0.963313953,0.016359933,0.001635993,weighted,No,control_pearson_idirect
336,4,0.949186047,0.018135152,0.001813515,weighted,No,control_pearson_idirect
337,5,0.932412791,0.017082744,0.001708274,weighted,No,control_pearson_idirect
338,6,0.921017442,0.015646668,0.001564667,weighted,No,control_pearson_idirect
339,7,0.903284884,0.017278891,0.001727889,weighted,No,control_pearson_idirect
340,8,0.886453488,0.016469344,0.001646934,weighted,No,control_pearson_idirect
341,9,0.871017442,0.012086159,0.001208616,weighted,No,control_pearson_idirect
342,10,0.854651163,0,0,weighted,No,control_pearson_idirect
343,1,0.987819767,0.010326971,0.001032697,unweighted,No,control_pearson_idirect
344,2,0.976424419,0.014953994,0.001495399,unweighted,No,control_pearson_idirect
345,3,0.964738372,0.015441288,0.001544129,unweighted,No,control_pearson_idirect
346,4,0.947005814,0.016229364,0.001622936,unweighted,No,control_pearson_idirect
347,5,0.934302326,0.018427073,0.001842707,unweighted,No,control_pearson_idirect
348,6,0.916337209,0.016786388,0.001678639,unweighted,No,control_pearson_idirect
349,7,0.90375,0.019028237,0.001902824,unweighted,No,control_pearson_idirect
350,8,0.890203488,0.016123831,0.001612383,unweighted,No,control_pearson_idirect
351,9,0.872906977,0.012222579,0.001222258,unweighted,No,control_pearson_idirect
352,10,0.854651163,0,0,unweighted,No,control_pearson_idirect
353,1,0.646163366,0.00486697,0.000486697,weighted,Yes,control_pearson
354,2,0.641881188,0.007174639,0.000717464,weighted,Yes,control_pearson
355,3,0.634554455,0.008133885,0.000813388,weighted,Yes,control_pearson
356,4,0.632376238,0.008269406,0.000826941,weighted,Yes,control_pearson
357,5,0.628118812,0.009775938,0.000977594,weighted,Yes,control_pearson
358,6,0.620915842,0.009764885,0.000976488,weighted,Yes,control_pearson
359,7,0.61539604,0.009862035,0.000986203,weighted,Yes,control_pearson
360,8,0.609480198,0.0104357,0.00104357,weighted,Yes,control_pearson
361,9,0.602722772,0.009625248,0.000962525,weighted,Yes,control_pearson
362,10,0.598589109,0.008851905,0.000885191,weighted,Yes,control_pearson
363,11,0.590222772,0.006306989,0.000630699,weighted,Yes,control_pearson
364,12,0.584158416,0,0,weighted,Yes,control_pearson
365,1,0.644430693,0.004328557,0.000432856,unweighted,Yes,control_pearson
366,2,0.640915842,0.006045256,0.000604526,unweighted,Yes,control_pearson
367,3,0.635247525,0.007752104,0.00077521,unweighted,Yes,control_pearson
368,4,0.630965347,0.007796484,0.000779648,unweighted,Yes,control_pearson
